,index,creatinine_admit_value
1584,17.23,1
1585,17.90,1
1586,17.89,1
1587,17.83,1
1588,17.74,1
1589,17.69,1
1590,17.68,1
1591,17.63,1
1592,17.59,1
1593,17.44,1
1594,17.41,1
1595,17.35,1
1596,17.32,1
1597,17.30,1
1598,17.26,1
1599,17.24,1
1600,19.65,1
1601,19.66,1
1602,19.67,1
1603,25.82,1
1604,25.23,1
1605,25.20,1
1606,24.93,1
1607,24.91,1
1608,24.35,1
1609,24.17,1
1610,23.81,1
1611,23.77,1
1612,23.73,1
1613,23.63,1
1614,23.29,1
1615,23.06,1
1616,22.54,1
1617,22.46,1
1618,22.33,1
1619,25.43,1
1620,26.69,1
1621,22.18,1
1622,27.35,1
1623,8.1,1
1624,7.7,1
1625,7.6,1
1626,7.4,1
1627,6.8,1
1628,6.7,1
1629,6.1,1
1630,5.6,1
1631,5.4,1
1632,5.1,1
1633,5.0,1
1634,4.6,1
1635,4.4,1
1636,3.5,1
1637,29.49,1
1638,22.29,1
1639,22.05,1
1640,19.77,1
1641,20.33,1
1642,20.30,1
1643,20.24,1
1644,20.19,1
1645,20.11,1
1646,20.10,1
1647,20.08,1
1648,20.07,1
1649,8.54,1
1650,19.94,1
1651,19.90,1
1652,19.88,1
1653,19.86,1
1654,19.85,1
1655,19.80,1
1656,19.8,1
1657,20.32,1
1658,20.39,1
1659,21.96,1
1660,20.60,1
1661,21.80,1
1662,21.72,1
1663,21.59,1
1664,21.58,1
1665,21.43,1
1666,21.28,1
1667,21.26,1
1668,21.17,1
1669,21.02,1
1670,21.00,1
1671,20.94,1
1672,20.88,1
1673,20.75,1
1674,20.69,1
1675,20.67,1
1676,16.52,1
1677,16.49,1
1678,11.01,1
1679,13.54,1
1680,13.77,1
1681,13.69,1
1682,13.67,1
1683,13.66,1
1684,13.64,1
1685,13.60,1
1686,13.55,1
1687,13.46,1
1688,16.46,1
1689,13.44,1
1690,13.4,1
1691,13.33,1
1692,13.31,1
1693,13.20,1
1694,13.2,1
1695,13.19,1
1696,13.79,1
1697,13.80,1
1698,13.86,1
1699,13.90,1
1700,14.45,1
1701,14.43,1
1702,14.41,1
1703,14.34,1
1704,14.32,1
1705,14.29,1
1706,14.28,1
1707,14.24,1
1708,14.23,1
1709,14.16,1
1710,14.13,1
1711,13.99,1
1712,13.96,1
1713,13.95,1
1714,13.92,1
1715,13.18,1
1716,13.09,1
1717,13.07,1
1718,12.11,1
1719,12.01,1
1720,12.00,1
1721,12.0,1
1722,11.97,1
1723,11.84,1
1724,11.83,1
1725,11.79,1
1726,11.77,1
1727,11.64,1
1728,11.43,1
1729,11.40,1
1730,11.37,1
1731,11.36,1
1732,11.34,1
1733,11.32,1
1734,12.06,1
1735,12.17,1
1736,13.03,1
1737,12.18,1
1738,13.02,1
1739,13.00,1
1740,13.0,1
1741,12.92,1
1742,12.83,1
1743,12.79,1
1744,12.73,1
1745,12.69,1
1746,12.57,1
1747,12.56,1
1748,12.55,1
1749,12.54,1
1750,12.33,1
1751,12.24,1
1752,12.20,1
1753,14.46,1
1754,14.47,1
1755,14.48,1
1756,15.85,1
1757,15.82,1
1758,15.79,1
1759,15.74,1
1760,15.64,1
1761,15.63,1
1762,15.58,1
1763,15.57,1
1764,15.54,1
1765,15.51,1
1766,15.49,1
1767,15.45,1
1768,15.44,1
1769,15.43,1
1770,15.41,1
1771,15.39,1
1772,15.84,1
1773,15.89,1
1774,15.37,1
1775,15.91,1
1776,16.41,1
1777,16.37,1
1778,16.33,1
1779,16.29,1
1780,16.27,1
1781,16.23,1
1782,16.22,1
1783,16.19,1
1784,16.18,1
1785,16.12,1
1786,16.07,1
1787,15.97,1
1788,15.95,1
1789,15.94,1
1790,15.92,1
1791,15.38,1
1792,15.35,1
1793,14.49,1
1794,14.96,1
1795,14.93,1
1796,14.9,1
1797,14.85,1
1798,14.79,1
1799,14.78,1
1800,14.75,1
1801,14.73,1
1802,14.72,1
1803,14.68,1
1804,14.66,1
1805,14.61,1
1806,14.58,1
1807,14.57,1
1808,14.53,1
1809,14.52,1
1810,14.95,1
1811,14.97,1
1812,15.34,1
1813,14.98,1
1814,15.28,1
1815,15.27,1
1816,15.26,1
1817,15.21,1
1818,15.19,1
1819,15.14,1
1820,15.12,1
1821,15.11,1
1822,15.09,1
1823,15.08,1
1824,15.07,1
1825,15.06,1
1826,15.04,1
1827,15.03,1
1828,15.01,1
1829,0.03,1
