,index,primary_diagnosis_desc
5679,MALIGNANT NEO LARYNX NEC,14
5680,Postgastric surgery syndromes,14
5681,ECLAMPSIA-DELIVERED,14
5682,Torticollis,14
5683,Adult-onset Still's disease,14
5684,"Poisoning by oth antidysrhythmic drugs,accidental",14
5685,Malignant neoplasm of upper third of esophagus,14
5686,MALIG NEO SUBGLOTTIS,14
5687,Trifascicular block,14
5688,OMPHALITIS OF NEWBORN,14
5689,DM EYE MANIF TYP I UNCNT,14
5690,Other nonautoimmune hemolytic anemias,14
5691,"Toxic effect of unsp noxious sub eaten as food,ac",14
5692,Occlusion and stenosis of left middle cerebral art,14
5693,"Fracture of manubrium,initial encounter for close",14
5694,OLD FB IN SOFT TISSUE,14
5695,"Unsp infct of urinary tract in pregnancy,second t",14
5696,ERYTHEMA NODOSUM,14
5697,"Neurofibromatosis,type 1",14
5698,"Oth intraoperative complications of the circ sys,",14
5699,Alcohol induced acute pancreatitis with infected n,14
5700,Secondary malignant neoplasm of mediastinum,14
5701,Non-pressure chronic ulcer oth prt r low leg w uns,14
5702,Postp hematoma of a nervous sys org fol a nervous ,14
5703,Other specified bacterial intestinal infections,14
5704,"Unsp fracture of right calcaneus,init for clos fx",14
5705,I/I react d/t other nrv sys device implnt or graft,14
5706,Loc skin eruption due to drugs and meds taken inte,14
5707,COMPL TRANSPOS GREAT VES,14
5708,OTH IMP RENAL FUNCTN DIS,14
5709,HALLUX RIGIDUS,14
5710,EOSINOPH GASTROENTERITIS,14
5711,FX OLECRAN PROC ULNA-OPN,14
5712,Athscl native arteries of right leg w ulceration o,14
5713,PSYCHOGENIC RESPIR DIS,14
5714,Other specified diseases of pericardium,14
5715,"Allergic contact dermatitis due to plants,except ",14
5716,PSYCHOGENIC GI DISEASE,14
5717,Breakdown (mechanical) of indwelling urethral cath,14
5718,"Severe pre-eclampsia,unspecified trimester",14
5719,"Maternal care for disproportion,unspecified",14
5720,SPRAIN SHOULDER/ARM NEC,14
5721,"Major depressv disorder,single episode,in partia",14
5722,"Major laceration of liver,initial encounter",14
5723,"Displaced spiral fracture of shaft of left tibia,",14
5724,DIABETES INSIPIDUS,14
5725,"FX HUMER,CONDYL NOS-CL",14
5726,Eczema herpeticum,14
5727,"2-part disp fx of surgical neck of left humerus,i",14
5728,Displacement of indwelling urethral catheter init,14
5729,Pain in left upper arm,14
5730,FACE/BROW PRESENT-DELIV,14
5731,Cellulitis of left external ear,14
5732,BIPOL I-REC DEPRESS MILD,14
5733,PER T-CEL LYMP SITE NOS,14
5734,"Displaced spiral fx shaft of humerus,right arm,i",14
5735,"Pain due to internal prosth dev/grft,NEC,init",14
5736,"Displaced transverse fracture of left patella,ini",14
5737,"Poisoning by cardi-stim glycos/drug simlar act,ac",14
5738,BONE DISORDER-ANTEPARTUM,14
5739,ALCOHL GASTRIT & HEMORRG,14
5740,DEEP VEIN THROMB-POSTPAR,14
5741,Polyarteritis with lung involvement [Churg-Strauss,13
5742,Appendicular concretions,13
5743,"Mech compl of biological heart valve graft,init e",13
5744,POISONING-SALURETICS,13
5745,Maxillary fracture right side init,13
5746,"Other acute osteomyelitis,right femur",13
5747,"Breakdown (mechanical) of insulin pump,initial en",13
5748,Nephropathy induced by oth drug/meds/biol subst,13
5749,Dementia in oth diseases classd elswhr w/o behavrl,13
5750,Deviated nasal septum,13
5751,Hypertrophy of tonsils,13
5752,"Arthritis due to other bacteria,left knee",13
5753,SLEEP STAGE DYSFUNC NEC,13
5754,I/I react d/t implanted urinary sphincter initial ,13
5755,ARTHROPATHY NEC-SHLDER,13
5756,PNEUMOCOCCAL MENINGITIS,13
5757,INFLAMM POLYARTHROP NOS,13
5758,"Other acute osteomyelitis,right hand",13
5759,"Staphylococcal arthritis,left shoulder",13
5760,"Traum subdr hem w/o loss of consciousness,subs",13
5761,"Arthritis due to other bacteria,right knee",13
5762,POLYHYDRAMNIOS-ANTEPART,13
5763,"Maternal care for cervical incompetence,first tri",13
5764,CONTUSION OF FOREARM,13
5765,Other cervical disc displacement at C5-C6 level,13
5766,RUPTURE TENDON FOOT NEC,13
5767,MANDIBULAR HYPOPLASIA,13
5768,Hungry bone syndrome,13
5769,ACUTE STOMACH ULCER NOS,13
5770,"Flat foot [pes planus] (acquired),left foot",13
5771,NB FAILURE TO THRIVE,13
5772,Pasteurellosis,13
5773,"Vascular headache,not elsewhere classified",13
5774,"Vascular comp fol infusn,tranfs and theraputc inj",13
5775,NASAL BONE FX-OPEN,13
5776,"Displacement of ventricular intracranial shunt,in",13
5777,Vomiting following gastrointestinal surgery,13
5778,"Radiculopathy,site unspecified",13
5779,THRD-STAGE HEM-DEL W P/P,13
5780,THORACIC DISC DEGEN,13
5781,Myelofibrosis,13
5782,AC TRACHEITIS NO OBSTRUC,13
5783,Neoplasm of uncertain behavior of left ovary,13
5784,Benign neoplasm of spinal cord,13
5785,End stage heart failure,13
5786,Pain in right hand,13
5787,THYROTOX NOS W CRISIS,13
5788,Dressler's syndrome,13
5789,POSTLAMINECT SYND-CERV,13
5790,"Vesical fistula,not elsewhere classified",13
5791,ECLAMPSIA-POSTPARTUM,13
5792,NONPSYCHOT BRAIN SYN NOS,13
5793,Benign neoplasm of parathyroid gland,13
5794,CHR STOMACH ULC HEM/PERF,13
5795,ACQ COAGUL FACTOR DEFIC,13
5796,SCHIZOPHRENIA NEC-UNSPEC,13
5797,"Dysmenorrhea,unspecified",13
5798,Fracture of oth skull and facial bones left side i,13
5799,Postprocedural anterior urethral stricture,13
5800,ACUTE GC INFECT LOWER GU,13
5801,CHRONIC CYSTITIS NEC,13
5802,BEN NEO FAL TUBE/UT LIG,13
5803,Dvrtclos of both small and lg int w/o perf or absc,13
5804,NEUROGENIC BLADDER,13
5805,Drug/chem diabetes mellitus w ketoacidosis w/o com,13
5806,CHRONIC MASTOIDITIS,13
5807,"Drug-induced headache,NEC,not intractable",13
5808,"Onset labor 37-39 weeks,w del by (planned) cesare",13
5809,CLOS SKULL BASE FRACTURE,13
5810,ALC-IND MENT DISORD NOS,13
5811,AC SPHENOIDAL SINUSITIS,13
5812,Encounter for fitting and adjustment of urinary de,13
5813,Oth stimulant abuse w stim-induce psych disorder w,13
5814,Metabolic syndrome,13
5815,CONG PULMON VALV ATRESIA,13
5816,FX SYMPHY MANDIB BODY-CL,13
5817,"Meniere's disease,unspecified ear",13
5818,PREMIE NB NEC/1750-1999G,13
5819,OPEN WOUND OF FACE NEC,13
5820,TOXIC EFF PESTICIDES NEC,13
5821,ANEURYSMAL BONE CYST,13
5822,Hemiplga following cerebral infarction affecting u,13
5823,Hemophagocytic lymphohistiocytosis,13
5824,"Hemorrhage in early pregnancy,unspecified",13
5825,Other abnormalities of breathing,13
5826,"3-part fracture of surgical neck of left humerus,",13
5827,Other abscess of pharynx,13
5828,VOMIT OF PG NOS-ANTEPART,13
5829,"Migraine w/o aura,not intractable,with status mi",13
5830,OPEN WOUND OF NECK NEC,13
5831,HERPANGINA,13
5832,Neoplasm of uncertain behavior of retroperitoneum,13
5833,2ND DEG BURN FOOT,13
5834,"Pre-exist diabetes,type 1,in pregnancy,second t",13
5835,PULMONARY AV MALFORMATN,13
5836,PULM EMBOL NOS-ANTEPART,13
5837,ALLERGIC GASTROENTERITIS,13
5838,AC RAPIDLY PROGR NEPHRIT,13
5839,HEALING PATH FX VERTEBRA,13
5840,"Minor contusion of left kidney,initial encounter",13
5841,Athscl native art of left leg w ulcer oth prt lowe,13
5842,HEBEPHRENIA-CHRONIC,13
5843,RENOVASC HYPERTENSION,13
5844,HEM EARLY PG NEC-ANTEPAR,13
5845,RENAL VEIN THROMBOSIS,13
5846,Oth psych disorder not due to a sub or known physi,13
5847,HEMIPL NOS-DOMINANT SIDE,13
5848,"Pre-existing essential htn comp pregnancy,unsp tr",13
5849,PITUITARY DISORDER NEC,13
5850,"Laceration without foreign body of left forearm,i",13
5851,MAL NEO PHARYNX NOS,13
5852,"Spondylosis,unspecified",13
5853,JAW-CRAN BASE ANOMLY NOS,13
5854,Cellulitis of right axilla,13
5855,Other vasculitis limited to the skin,13
5856,"Anemia complicating pregnancy,unspecified trimest",13
5857,MAL NEO LONG BONES ARM,13
5858,TRIFASCICULAR BLOCK,13
5859,MAL NEO LYMPH NODE-MULT,13
5860,MONONEURITIS MULTIPLEX,13
5861,SPON AB W COMPL NEC-INC,13
5862,MONONEURITIS ARM NEC,13
5863,Cystic fibrosis with other intestinal manifestatio,13
5864,Progressive supranuclear ophthalmoplegia,13
5865,"Allergic contact dermatitis,unspecified cause",13
5866,Cytomegaloviral hepatitis,13
5867,STOMACH ULCER NOS-OBSTR,13
5868,Somatization disorder,13
5869,FAM MEDITERRANEAN FEVER,13
5870,Aneurysm of vertebral artery,13
5871,RETINAL VASC OCCLUS NOS,13
5872,"Malignant neoplasm of liver,primary,unspecified ",13
5873,Malignant neoplasm of long bones of left lower lim,13
5874,Malignant neoplasm of lower gum,13
5875,"Abnormality of forces of labor,unspecified",13
5876,SPLEEN HEMATOMA-CLOSED,13
5877,"FX DIST PHALANX,HAND-CL",13
5878,PARALYTIC SYNDROMES NEC,13
5879,AC FRONTAL SINUSITIS,13
5880,Orthopnea,13
5881,"Unqualified visual loss,left eye,normal vision r",13
5882,PAROX TACHYCARDIA NOS,13
5883,Malignant neoplasm of ethmoidal sinus,13
5884,"Rheumatic mitral valve disease,unspecified",13
5885,"Other peripheral vertigo,right ear",13
5886,EXTRADURAL HEM W/O LOC,13
5887,"Ulcerative colitis,unspecified with other complic",13
5888,Other forms of stomatitis,13
5889,Non-pressure chronic ulcer oth prt l low leg w uns,13
5890,Allergic bronchopulmonary aspergillosis,13
5891,"Malig neoplasm of anterior two-thirds of tongue,p",13
5892,Acute infarction of large intestine extent unspeci,13
5893,Other specified heart block,13
5894,UTERINE INFLAM DIS NOS,13
5895,"Congenital absence,atresia and stenosis of anus w",13
5896,Malignant neoplasm of unsp part of right adrenal g,13
5897,Low lying placenta NOS or without hemor third trim,13
5898,Alcoholic hepatic failure with coma,13
5899,UTER DYSTOCIA NOS-DELIV,13
5900,"Sinus,fistula and cyst of branchial cleft",13
5901,TRAUMATIC SPONDYLOPATHY,13
5902,Cor pulmonale (chronic),13
5903,Congenital pulmonary valve insufficiency,13
5904,Bacteriuria,13
5905,Acute and chronic postprocedural respiratory failu,13
5906,Ntrm subarach hemorrhage from left middle cerebral,13
5907,"Contusion of left shoulder,initial encounter",13
5908,LACERAT OF CERVIX-DELIV,13
5909,OB INJ PELV ORG NEC-DEL,13
5910,KIDNEY INJURY NOS-CLOSED,13
5911,Candidal cystitis and urethritis,13
5912,Chronic atrophic gastritis without bleeding,13
5913,"Alcohol use,unsp with alcohol-induced persisting ",13
5914,Secondary malignant neoplasm of right adrenal glan,13
5915,"Juvenile idiopathic scoliosis,thoracic region",13
5916,Ac emblsm and thombos unsp deep veins of prox low ,13
5917,RECTUM INJURY-CLOSED,13
5918,Cardiac tamponade,13
5919,"Sciatica,unspecified side",13
5920,MASTODYNIA,13
5921,STRICTURE OF VAGINA,13
5922,PECTUS CARINATUM,13
5923,Malignant neoplasm of overlapping sites of stomach,13
5924,MALIGNANT NEO LIVER NOS,13
5925,"Cerebral arteritis,not elsewhere classified",13
5926,"Idiopathic gout,unspecified site",13
5927,PERNICIOUS ANEMIA,13
5928,PERONEAL MUSCLE ATROPHY,13
5929,PERITONITIS (ACUTE) GENR,13
5930,"Malignant neoplasm of penis,unspecified",13
5931,"Other osteomyelitis,hand",13
5932,Malignant neoplasm of pleura,13
5933,SUBDURAL HEM-DEEP COMA,13
5934,"Stable burst fracture of third lumbar vertebra,in",13
5935,Antiphospholipid syndrome,13
5936,Infection of kidney following delivery,13
5937,S/P CVA FACIAL WEAKNESS,13
5938,"Neurosyphilis,unspecified",13
5939,Oth disrd of gingiva and edentulous alveolar ridge,13
5940,"Salmonella infection,unspecified",13
5941,Torsion of right ovary and ovarian pedicle,13
5942,FX DISTAL ULNA-CLOSED,13
5943,CEPHAL VERS NOS-ANTEPART,13
5944,"Unsp Zone I fracture of sacrum,init for clos fx",13
5945,SOCIAL PHOBIA,13
5946,STRESS FX OTH BONE,13
5947,Oth cond assoc w female genital organs and menstru,12
5948,Unspecified maternal hypertension comp the puerper,12
5949,"Unsp disp fx of fourth cervical vertebra,init for",12
5950,MAL NEO ANT FLOOR MOUTH,12
5951,MAJR DEPRESS-PART REMISS,12
5952,Cellulitis of left axilla,12
5953,MEDIASTINUM DISEASE NEC,12
5954,Neoplasm of uncertain behavior of oth digestive or,12
5955,NONINFLAM DIS VULVA NEC,12
5956,MALIG NEO SOFT PALATE,12
5957,Displaced transverse fracture of shaft of right fe,12
5958,TOPICAL MED DERMATITIS,12
5959,ABO ISOIMMUNIZAT-DELIVER,12
5960,"Oth disorders of plasma-protein metabolism,NEC",12
5961,Chronic embolism and thrombosis of left popliteal ,12
5962,ABN ELECTROENCEPHALOGRAM,12
5963,Alcoholic cardiomyopathy,12
5964,CHEMICAL DERMATITIS NEC,12
5965,SALMONELLA SEPTICEMIA,12
5966,ACQ EQUINUS DEFORMITY,12
5967,MYONEURAL DISORDERS NOS,12
5968,PUERP COMP NEC-DEL W P/P,12
5969,CEREBRAL PALSY NOS,12
5970,MALIGNANT NEOPL HEART,12
5971,MYELOPATHY NEC,12
5972,Chronic or unsp duodenal ulcer w both hemorrhage a,12
5973,MALIGNANT NEO MANDIBLE,12
5974,Other specified congenital malformations of intest,12
5975,"Local-rel idio epi w seiz of loc onset,ntrct,w/o",12
5976,ALLERG BPULM ASPERGILLOS,12
5977,ALKALOSIS,12
5978,CHR PASSIV CONGEST LIVER,12
5979,"Athscl unsp type bypass of the extrm w rest pain,",12
5980,"Chronic kidney disease,stage 3 (moderate)",12
5981,ACQ DEFORMITY NEC,12
5982,PULMONARY ARTERY ANOM,12
5983,Adverse effect of antiepileptic and sed-hypntc dru,12
5984,Gonococcal female pelvic inflammatory disease,12
5985,"Lymphangioma,any site",12
5986,Secondary malignant neoplasm of skin,12
5987,EATING DISORDER NEC,12
5988,Gestatnl htn without significant protein comp the ,12
5989,Lymphocytic choriomeningitis,12
5990,Unsp complication of genitourinary prosth dev/grft,12
5991,ADRENAL HYPOFUNCTION NEC,12
5992,Fourth degree perineal laceration during delivery,12
5993,"Fractures of oth skull and facial bones,init for ",12
5994,"Oth fracture of lower end of left femur,init for ",12
5995,MIXED ACID-BASE BAL DIS,12
5996,Dvrtclos of sm int w/o perforation or abscess w bl,12
5997,Secondary Merkel cell carcinoma,12
5998,Oth complication of nervous system prosth dev/grft,12
5999,"Post-traumatic osteoarthritis,left shoulder",12
6000,"Age-rel osteopor w current path fracture,right fe",12
6001,"Pathological fracture,pelvis,init encntr for fra",12
6002,Other polyosteoarthritis,12
6003,ACUTE KIDNEY FAILURE NEC,12
6004,"Poisoning by oth drug/meds/biol subst,self-harm,",12
6005,"Respiratory distress of newborn,unspecified",12
6006,Pain in right wrist,12
6007,Ventricular septal defect as current comp followin,12
6008,BASILAR ARTERY SYNDROME,12
6009,BALANOPOSTHITIS,12
6010,"Toxic liver disease,unspecified",12
6011,CIRCULATORY DISEASE NOS,12
6012,"Drug use complicating pregnancy,third trimester",12
6013,"Unspecified dislocation of right shoulder joint,i",12
6014,Double outlet right ventricle,12
6015,"Unsp disp fx of fifth cervical vertebra,init for ",12
6016,"Drug use complicating pregnancy,first trimester",12
6017,Cereb infrc due to embolism of unsp middle cerebra,12
6018,"Electrocution,initial encounter",12
6019,GLOSSOPHARYNG NEURALGIA,12
6020,Other pulmonary collapse,12
6021,MAL NEO OROPHARYNX NEC,12
6022,Secondary malignant neoplasm of right ovary,12
6023,Cervical disc disorder at C4-C5 level with radicul,12
6024,Secondary malignant neoplasm of other respiratory ,12
6025,Other nonrheumatic aortic valve disorders,12
6026,"Fracture of angle of mandible,init for clos fx",12
6027,Alcohol abuse with other alcohol-induced disorder,12
6028,Neonatal urinary tract infection,12
6029,Cerebral atherosclerosis,12
6030,MAL NEO HEAD/FACE/NECK,12
6031,Gammaherpesviral mononucleosis with other complica,12
6032,Cellulitis of right external ear,12
6033,STAPHYLOCOCC MENINGITIS,12
6034,"Unsp effects of drowning and nonfatal submersion,",12
6035,Phimosis,12
6036,"Myelodysplastic disease,not classified",12
6037,BEN NEO NASAL CAV/SINUS,12
6038,"Poisoning by heroin,undetermined,initial encount",12
6039,"Cervical disc disorder w radiculopathy,cervicotho",12
6040,GOODPASTURE'S SYNDROME,12
6041,MALIG NEO BILIARY NOS,12
6042,Rectocele,12
6043,Dvrtclos of sm int w/o perforation or abscess w/o ,12
6044,MODERATE DYSPL OF CERVIX,12
6045,CHR ETHMOIDAL SINUSITIS,12
6046,"Poisoning by other opioids,undetermined,initial ",12
6047,Leakage of indwelling urethral catheter initial en,12
6048,"Stress fracture,right femur,initial encounter fo",12
6049,CONTUSION ORBITAL TISSUE,12
6050,Malignant neoplasm of overlapping sites of pancrea,12
6051,POISONING-DIURETICS NEC,12
6052,POISONING-EXPECTORANTS,12
6053,"Other antepartum hemorrhage,third trimester",12
6054,Hypopituitarism,12
6055,POISONING-THYROID/DERIV,12
6056,FX DISTAL RADIUS NEC-OPN,12
6057,"Other allergy,initial encounter",12
6058,POLYARTHRITIS NOS-MULT,12
6059,CHOREA NEC,12
6060,RECUR BILAT INGUIN HERN,12
6061,"Hyperparathyroidism,unspecified",12
6062,CHONDRODYSTROPHY,12
6063,Other cystitis with hematuria,12
6064,Abnormal results of liver function studies,12
6065,FX RADIUS SHAFT-CLOSED,12
6066,OPEN WOUND HAND W TENDON,12
6067,POSTABORT GEN/PELV INFEC,12
6068,Hereditary spherocytosis,12
6069,Benign neoplasm of bladder,12
6070,Erosion of implanted prstht mtrl to surrnd org/tis,12
6071,"Cystocele,midline",12
6072,EXP IMP VAG MESH-VAGINA  F,12
6073,"Asphyxiation due to hanging,intentional self-harm",12
6074,EXPLOSIVE PERSONALITY,12
6075,OTHER COMP OF CYSTOSTOMY,12
6076,CONGENITAL NEUTROPENIA,12
6077,"Strain of muscle,fascia and tendon of abdomen,in",12
6078,DIAB W COMPL NOS TYPE II,12
6079,DIABETES COMA NEC TYP II,12
6080,PELV FX-CL W/O PLV DISRP,12
6081,Anxiety disorder due to known physiological condit,12
6082,Malignant neoplasm of ureteric orifice,12
6083,SOLID/LIQ PNEUMONIT NEC,12
6084,Malignant neoplasm of urethra,12
6085,PLASMACYTOMA NOS,12
6086,CRUSHING INJURY FOOT,12
6087,"Other cervical disc degeneration,unsp cervical re",12
6088,DISORDER SFT TISSUE NOS,12
6089,"Pressure ulcer of right hip,stage 4",12
6090,"Malignant neoplasm of small intestine,unspecified",12
6091,"Staphylococcal arthritis,right hip",12
6092,FX METACARP BASE NEC-CL,12
6093,"Other chronic osteomyelitis,left tibia and fibula",12
6094,Stenosis due to other internal prosth dev/grft ini,12
6095,"Poisn by angiotens-convert-enzyme inhibtr,self-ha",12
6096,BENIGN NEOPLASM BREAST,12
6097,Deep phlebothrombosis in the puerperium,12
6098,"Marfan's syndrome,unspecified",12
6099,DISLOC SHOULDER NOS-CLOS,12
6100,OCULAR LAC W/O PROLAPSE,12
6101,"4-part fracture of surgical neck of left humerus,",12
6102,BONE DISORDER-DELIVERED,12
6103,"Dermatopolymyositis,unsp,organ involvement unspe",12
6104,Diabetes insipidus,12
6105,"Matern care for oth or susp poor fetl grth,2nd tr",12
6106,Pneumonia due to Hemophilus influenzae,12
6107,Infect/inflm reaction due to int fix of left femur,12
6108,Other abnormalities of forces of labor,12
6109,CONJUNCTIVITIS NOS,12
6110,Interstitial cystitis (chronic) with hematuria,12
6111,"Juvenile idiopathic scoliosis,thoracolumbar regio",12
6112,HERPES SIMPLEX NOS,12
6113,PRIM CNS LYMPH HEAD/NECK,12
6114,2ND DIAB MANIF NEC UNCTR,12
6115,Thromboangiitis obliterans [Buerger's disease],12
6116,ANAPH SHOCK DUE TO FISH,12
6117,HEMIPL NOS-NONDOMNT SIDE,12
6118,HEMOPHAGOCYTIC SYNDROMES,12
6119,KIDNEY ANOMALY NEC,12
6120,Non-pressure chronic ulcer of right ankle with uns,12
6121,EXTRAPYRAMIDAL DIS NOS,12
6122,"Burkitt lymphoma,extranodal and solid organ sites",12
6123,Congenital cerebral cysts,12
6124,LUMBOSACR SPONDYLOLYSIS,12
6125,Nontraumatic subarachnoid hemorrhage from basilar ,12
6126,"Erythematous condition,unspecified",12
6127,OPEN WOUND OF UPPER ARM,12
6128,CONG FACTOR VIII DIORD,12
6129,LIPOMA SKIN NEC,12
6130,Other specified puerperal infections,12
6131,Other specified noninflammatory disorders of uteru,12
6132,HODGKINS DIS NOS MULT,12
6133,Other specified peripheral vascular diseases,12
6134,"Poisoning by antineopl and immunosup drugs,acc,i",12
6135,T7-T12 FX-CL/CRD INJ NOS,12
6136,"Collapsed vertebra,NEC,thoracolumbar region,ini",12
6137,"Mild persistent asthma,uncomplicated",12
6138,"Unsp fx shaft of left tibia,init for opn fx type ",12
6139,FX SHAFT FIBULA-CLOSED,12
6140,Other specified disorders of male genital organs,12
6141,Postproc hematoma of a circ sys org following a ca,12
6142,Calculus of bile duct with acute cholangitis w/o o,12
6143,Malignant neoplasm of hard palate,12
6144,Other female urinary-genital tract fistulae,12
6145,POSTSURGICAL HYPOTHYROID,12
6146,HYPERTROPHY OF UTERUS,12
6147,Other thyrotoxicosis without thyrotoxic crisis or ,12
6148,Malignant neoplasm complicating childbirth,12
6149,AMI NOS-SUBSEQUENT EPISD,12
6150,Other systemic sclerosis,12
6151,"Pregnancy related conditions,unspecified,second ",12
6152,"Disp fx of medial malleolus of left tibia,init fo",12
6153,Athscl native arteries of left leg w ulceration of,12
6154,Unspecified abdominal hernia without obstruction o,12
6155,CHILD PHYSICAL ABUSE,11
6156,OTH ANOM PUL ARTERY/CIRC,11
6157,OTALGIA NOS,11
6158,CHR GOUTY ATROPH W TOPHI,11
6159,RUPTURE ACHILLES TENDON,11
6160,"Breakdown (mechanical) of int fix of right femur,",11
6161,"Obesity complicating pregnancy,third trimester",11
6162,"Recurrent dislocation,left shoulder",11
6163,BENIGN NEO VERTEBRAE,11
6164,CARBUNCLE OF TRUNK,11
6165,"Unsp nondisp fx of fifth cervical vertebra,init f",11
6166,OTHER AMI SEQUELAE,11
6167,"Unspecified acute noninfective otitis externa,lef",11
6168,Benign neoplasm of bones of skull and face,11
6169,"Oth disrd of the skin,subcu related to radiation",11
6170,"Non-Hodgkin lymphoma,unsp,intra-abdominal lymph ",11
6171,Obstructed labor due to incmpl rotation of fetal h,11
6172,"Nondisp fx of lateral malleolus of right fibula,i",11
6173,Unspecified dacryocystitis of right lacrimal passa,11
6174,BRACHIAL PLEXUS INJURY,11
6175,Unsp nephritic syndrome w diffuse crescentic glomr,11
6176,Bone graft infection,11
6177,"CHR KIDNEY DIS,UNSP",11
6178,"Unsp nondisp fx of surgical neck of left humerus,",11
6179,RETROBULBAR NEURITIS,11
6180,"Nodular sclerosis class Hodgkin lymphoma,intratho",11
6181,"Breakdown (mechanical) of bile duct prosthesis,in",11
6182,"Radiation sickness,unspecified,initial encounter",11
6183,"Opioid abuse,uncomplicated",11
6184,Newborn esophageal reflux,11
6185,OPEN WOUND OF FOOT,11
6186,Reversible cerebrovascular vasoconstriction syndro,11
6187,OPN WND KNEE/LEG W TENDN,11
6188,"Recurrent dislocation,right shoulder",11
6189,Respiratory bronchiolitis interstitial lung diseas,11
6190,"Neoplasm of uncertain behavior of brain,unspecifi",11
6191,Rupture of popliteal cyst,11
6192,CHR MARGINAL ULCER NOS,11
6193,Refractory anemia with excess of blasts 2,11
6194,BURKITT'S TUMOR ABDOM,11
6195,CERVICOCRANIAL SYNDROME,11
6196,CENTRAL CORD SYND/C1-C4,11
6197,Oth extrartic fracture of lower end of left radius,11
6198,Chylous effusion,11
6199,Nasal congestion,11
6200,"Labor and delivery complicated by fetal stress,un",11
6201,Other specified disorders of penis,11
6202,Clonic hemifacial spasm,11
6203,"Cluster headache syndrome,unspecified,not intrac",11
6204,Shared psychotic disorder,11
6205,Collagenous colitis,11
6206,Postproc seroma of a GU sys org following a GU sys,11
6207,Postproc seroma of a circ sys org fol other circ s,11
6208,ACQ HEAD DEFORMITY NOS,11
6209,Periprosth osteolysis of internal prosthetic l hip,11
6210,"Food in bronchus causing asphyxiation,initial enc",11
6211,Acute embolism and thombos of deep vein of low ext,11
6212,ECZEMA HERPETICUM,11
6213,ACQUIRED HYPOTHYROID NEC,11
6214,ELEV BL PRES W/O HYPERTN,11
6215,LYMPH LEUK NEC NO REMISS,11
6216,Dvtrcli of both small and lg int w/o perf or abscs,11
6217,Toxic liver disease with acute hepatitis,11
6218,Congenital malformations of other endocrine glands,11
6219,Drug-induced tremor,11
6220,Skin graft (allograft) (autograft) infection,11
6221,Congenital pulmonary valve stenosis,11
6222,LEG VARICOSITY W ULCER,11
6223,URINARY SYS SYMPTOM NEC,11
6224,"Contusion of left eyelid and periocular area,init",11
6225,LARYNGEAL SPASM,11
6226,ACUTE NASOPHARYNGITIS,11
6227,EFFECTS ELECTRIC CURRENT,11
6228,"Other specified disorders of bone,other site",11
6229,TIC DISORDER NOS,11
6230,"Acute lymphoblastic leukemia,in remission",11
6231,AC POST-THORACOTOMY PAIN,11
6232,MALIG MELANOMA TRUNK,11
6233,"Acute sphenoidal sinusitis,unspecified",11
6234,Acute recurrent pansinusitis,11
6235,MAL NEO SOFT TISSUE NOS,11
6236,MAL NEO SOFT TISSUE NEC,11
6237,"Other premature separation of placenta,third trim",11
6238,MAL NEO PANCREATIC DUCT,11
6239,MAL NEO NASOPHARYNX NOS,11
6240,Secondary malignant neoplasm of left kidney and re,11
6241,TOXIC EFF CAUSTIC ALKALI,11
6242,Other sequelae of other nontraumatic intracranial ,11
6243,Phlebitis and thombophlb of superfic vessels of l ,11
6244,"Leakage of infusion catheter,initial encounter",11
6245,"Toxic effect of noxious substances eaten as food,",11
6246,"Flaccid neuropathic bladder,not elsewhere classif",11
6247,AC/CHR RSP FLR FOL TR/SG,11
6248,Lymphangitis,11
6249,Personal history of nicotine dependence,11
6250,Chronic idiopathic constipation,11
6251,Sedatv/hyp/anxiolytc dependence w withdrawal delir,11
6252,"Long labor,unspecified",11
6253,Pulmonary hypertension due to lung diseases and hy,11
6254,"Flatback syndrome,thoracolumbar region",11
6255,"Leukemia,unspecified not having achieved remissio",11
6256,Pulmonary cryptococcosis,11
6257,Postprocedural cerebrovascular infarction during o,11
6258,"Uterine size-date discrepancy,third trimester",11
6259,MALIG NEO OROPHARYNX NOS,11
6260,"Herpesviral infection,unspecified",11
6261,Pain in left hand,11
6262,INFECT DIS NEC-DELIVERED,11
6263,POIS-PHENOTHIAZINE TRANQ,11
6264,Strain of musc/tend the rotator cuff of right shou,11
6265,"Hypothermia,not associated w low environmental te",11
6266,"Diffuse large B-cell lymph,nodes of axilla and up",11
6267,"Traum subrac hem w/o loss of consciousness,subs",11
6268,"Hypersomnia,unspecified",11
6269,"Diseases of mediastinum,not elsewhere classified",11
6270,"Displaced spiral fx shaft of humerus,left arm,in",11
6271,"Hyperlipidemia,unspecified",11
6272,Diseases of the resp sys complicating the puerperi,11
6273,PURULENT ENDOPHTHALM NOS,11
6274,PHARYNGEAL ANOMALY NEC,11
6275,"Traum hemor right cerebrum w LOC of unsp duration,",11
6276,PULMONARY VALVE ANOM NEC,11
6277,H SIMPLEX COMPLICAT NEC,11
6278,"Hallucinogen abuse w psychotic disorder,unsp",11
6279,"Disp fx of head of right radius,init for clos fx",11
6280,HABITUAL ABORTER-DELIVER,11
6281,HYPOTHERMIA NOT LOW TEMP,11
6282,TABES DORSALIS,11
6283,ANAP LRG CEL LYMP UNS ST,11
6284,HUNGRY BONE SYNDROME,11
