,index,creatinine_discharge_value
1599,25.23,1
1600,19.40,1
1601,5.1,1
1602,7.8,1
1603,7.7,1
1604,7.6,1
1605,6.8,1
1606,6.1,1
1607,5.4,1
1608,5.0,1
1609,25.43,1
1610,4.6,1
1611,4.4,1
1612,29.49,1
1613,27.24,1
1614,26.69,1
1615,26.24,1
1616,21.72,1
1617,21.43,1
1618,21.28,1
1619,19.77,1
1620,19.90,1
1621,19.88,1
1622,19.86,1
1623,19.85,1
1624,19.80,1
1625,19.8,1
1626,19.67,1
1627,21.26,1
1628,19.62,1
1629,19.50,1
1630,19.47,1
1631,19.43,1
1632,19.42,1
1633,19.41,1
1634,19.94,1
1635,8.1,1
1636,20.10,1
1637,20.11,1
1638,20.19,1
1639,20.30,1
1640,20.32,1
1641,20.33,1
1642,20.39,1
1643,20.60,1
1644,20.67,1
1645,20.69,1
1646,20.75,1
1647,20.94,1
1648,21.00,1
1649,21.02,1
1650,21.17,1
1651,16.29,1
1652,16.27,1
1653,16.19,1
1654,13.25,1
1655,13.45,1
1656,13.44,1
1657,13.4,1
1658,13.39,1
1659,13.33,1
1660,13.31,1
1661,13.2,1
1662,13.54,1
1663,13.19,1
1664,13.18,1
1665,13.07,1
1666,13.03,1
1667,13.02,1
1668,13.00,1
1669,13.46,1
1670,13.57,1
1671,16.18,1
1672,13.99,1
1673,14.32,1
1674,14.29,1
1675,14.28,1
1676,14.24,1
1677,14.16,1
1678,14.13,1
1679,13.95,1
1680,13.60,1
1681,13.86,1
1682,13.79,1
1683,13.69,1
1684,13.68,1
1685,13.66,1
1686,13.62,1
1687,13.0,1
1688,12.93,1
1689,12.91,1
1690,11.64,1
1691,12.00,1
1692,12.0,1
1693,11.98,1
1694,11.84,1
1695,11.83,1
1696,11.79,1
1697,11.57,1
1698,12.86,1
1699,11.43,1
1700,11.40,1
1701,11.36,1
1702,11.34,1
1703,11.32,1
1704,11.02,1
1705,12.01,1
1706,12.06,1
1707,12.11,1
1708,12.17,1
1709,12.18,1
1710,12.20,1
1711,12.22,1
1712,12.24,1
1713,12.54,1
1714,12.55,1
1715,12.56,1
1716,12.57,1
1717,12.69,1
1718,12.73,1
1719,12.79,1
1720,12.83,1
1721,12.84,1
1722,14.34,1
1723,14.41,1
1724,14.42,1
1725,15.41,1
1726,15.58,1
1727,15.57,1
1728,15.54,1
1729,15.51,1
1730,15.45,1
1731,15.43,1
1732,15.39,1
1733,15.20,1
1734,15.38,1
1735,15.37,1
1736,15.34,1
1737,15.28,1
1738,15.27,1
1739,15.26,1
1740,15.63,1
1741,15.64,1
1742,15.66,1
1743,15.74,1
1744,15.79,1
1745,15.82,1
1746,15.84,1
1747,15.85,1
1748,15.87,1
1749,15.89,1
1750,15.91,1
1751,15.92,1
1752,15.94,1
1753,15.95,1
1754,15.97,1
1755,16.07,1
1756,16.12,1
1757,15.21,1
1758,15.19,1
1759,14.43,1
1760,14.58,1
1761,14.75,1
1762,14.73,1
1763,14.72,1
1764,14.68,1
1765,14.66,1
1766,14.61,1
1767,14.57,1
1768,15.15,1
1769,14.56,1
1770,14.52,1
1771,14.49,1
1772,14.47,1
1773,14.46,1
1774,14.45,1
1775,14.78,1
1776,14.79,1
1777,14.85,1
1778,14.9,1
1779,14.96,1
1780,14.97,1
1781,14.98,1
1782,15.01,1
1783,15.03,1
1784,15.04,1
1785,15.06,1
1786,15.07,1
1787,15.08,1
1788,15.09,1
1789,15.10,1
1790,15.11,1
1791,15.14,1
1792,0.03,1
