,index,insurance2
705,ACORDIA NATIONAL,38
706,INTL CINICO,38
707,UHC STUDENT RESOURCES,38
708,BR FOR CHILD.W/MED HAN,37
709,HUMANA MEDICARE,37
710,HEALTHLINK,37
711,CIGNA SAMBA STANDARD OPTION,37
712,AULTCARE SELECT NETWORK,37
713,SUPERMD MTROHLTH OON,37
714,HEALTH PLN OF UPPER OH VA,37
715,GREAT WEST HlthCARE,37
716,NGS AMERICAN,37
717,MISC EMBASSIES,36
718,MEDICAID HMO - OTHER,36
719,SENIORCHOICE,36
720,MED MUTUAL TRAD BH,36
721,GREAT WEST LIFE,36
722,UHC NAVIGATE,36
723,CORPHLTH-AETNA US HLTCARE,36
724,HUMANA CARE PLAN,36
725,UHC AARP MEDICARECOMPLETE WELLMED,35
726,BEECH STREET,35
727,SUPERMED HMO BEH HLTH,35
728,AETNA US HEALTHCARE HMO,35
729,MEDICAL ADMINISTRATORS,34
730,CARESOURCE MEDICARE ADVAN,34
731,ANTHEM BRONZE DIRECTACCES,34
732,OPTUM HLTHCARE SOLUTIONS,34
733,HEALTHSPAN GENERIC,34
734,ENTERPRISE GROUP PLAN HMO,34
735,GLOBAL EXCEL,33
736,SELF INSURED,33
737,AETNA OPEN ACCESS EPO,33
738,OHIO HEALTH CHOICE PLAN,33
739,VA VETERANS CHOICE CLEVELAND,33
740,GENERIC PSYCH,33
741,COVENTRY ADVANTRA MEDICARE HMO,33
742,INTERNATIONAL PATIENTS,33
743,PYRAMID,33
744,INTL ANTHEM BLUE CARD PPO,33
745,MULTIPLAN PPO,33
746,OTHER MEDICARE ACCIDENT,32
747,UNIVERSITY COMP MCO,32
748,EVERCARE CHOICE HMO,32
749,OPTUM HEALTHCARE SOLUTIONS,32
750,BUCKEYE ADVTG MCR IP,32
751,UHC COMPASS HIX OHIO,32
752,INTL EMBASSY KUWAIT OIL,31
753,AETNA ASSURANT HEALTH,31
754,OHIO PPO CONNECT INHEALTH,31
755,ANTHEM BLUE CROSS WELLPT,31
756,UNITED HEALTHCARE OF OHIO,31
757,WAUSAU INS CO,31
758,ANTHEM SILVER ACCESS,30
759,BCBS INDEMNITY GENERIC,30
760,LIFETRAC TRANSPLANT NTWK,30
761,INTL EMBASSY SAUDI ARABIA DEFENSE,30
762,REGENCY,29
763,"HLTH MANAGEMENT SOLUTIONS,INC.",29
764,UNITED AMERICAN INSURANCE,29
765,OHIO OPERATIING ENGINEERS,29
766,LOWES HDP BAT,29
767,UHC OPTUM HEALTH VAD,29
768,AARP,29
769,MYCARE BUCKEYE MEDICAID,29
770,CIGNA SA PPO,29
771,"MEDICAL ADMINISTRATORS,INC.",29
772,MEDINA HEALTH MINISTRY,29
773,ASSOC COMP RESOURCES,28
774,EXCHANGE SILVER GENERIC,28
775,CIGNA SAMBA HIGH OPTION,28
776,HAP SENIOR PLUS,28
777,MEDICARE SNF PART B,28
778,CARESOURCE JUST4ME,28
779,ANTARES RETIRED CCF STAFF,28
780,TETHYS HEALTH VENTURES,28
781,PRISONR NON CLEVELND,28
782,AMISH HLTH FUND,28
783,SUMMACARE PLUS POS,28
784,INTL MORGAN WHITE,27
785,FOREIGN SERVICE BENEFIT,27
786,GALLAGHER BASSETT,27
787,FIRST Hlth NETWORK,27
788,CCF EMPLOYEES BC PLN,27
789,PENNSYL. DEPT. OF WELFARE,27
790,UNITED MINE WORKERS 0341819,27
791,UHC UHSS OPTIONS PPO,27
792,MEDICAL BENEFIT MUTUAL LIFE INSURANCE - SMCP,27
793,HMO HLTH OHIO,27
794,BLUE OPEN ACCESS POS,27
795,INTL AETNA KUWAIT MILITARY,26
796,ANTHEM MEDIBLUE CONNECT,26
797,MMO INPT TO OUTPT,26
798,MEDICARE HMO MISC,26
799,COVENTRY MDCR POS IP,26
800,QUALITY CARE PARTNERS,26
801,UNITED HEALTHCARE RAILROAD,26
802,INTL HAREL/DIKLA,26
803,MEDICARE ADVANTRA POS,26
804,CAREWORKS OF OHIO LTD.,26
805,J P FARLEY CO,25
806,ANTHEM GOLD ACCESS,25
807,CCHS EMPLOYEE WC,25
808,INTL AETNA KUWAIT,25
809,MEDICARE PART B,25
810,HEALTHSCOPE BENEFITS,25
811,US DEPT OF LABOR,25
812,MEDICARE PLUS BLUE PFFS,25
813,US DEPT OF LABOR EEOIC,25
814,KAISER NOT OH OON GENERIC,25
815,ALLWELL BUCKEYE HMO,25
816,MY CARE OHIO,24
817,MHS CCHS EHP TKR,24
818,GOLDEN RULE INS,24
819,SAGAMORE AMBASSADOR,24
820,HUMANA MEDCRE PPO OP,24
821,EMBASSY GENERIC,24
822,MMO WELLS FARGO TPA,24
823,MHS CCHS OH STAFF RETIREE,24
824,NALC SECONDARY,24
825,AETNA INTERNATIONAL,24
826,MEDICAID - FAMILY PLANNING PROG.,24
827,INTL EMBASSY ONTARIO HEALTH,23
828,HLTHPLUS OF MICHIGAN,23
829,MEDICARE GATEWAY HEALTH,23
830,TRICARE BEHVRL HLTH,23
831,MCA ADMINISTRATORS,23
832,ALLWELL BUCKEYE HMO SNP,23
833,CARESRCJUST4ME,23
834,KAISER NOT N.E. OHIO,23
835,GWH CIGNA HMO,23
836,OLYMPUS MANAGED HEALTH,22
837,MYCARE UHC MEDICAID ONLY,22
838,CHESTERFIELD RESOURCES,22
839,COVENTRY CARELINK,22
840,COFINITY PPO,21
841,GOVERNMENT EMPLOYEES HOSP,21
842,ESRD MEDICARE PATIENT,21
843,CORVEL MCO,21
844,CIGNA HLTHCARE PPO PLUS PSYCH,21
845,UNITED HLTHCR MCR OP,21
846,INTL CMN GENERIC,21
847,TUFTS HEALTH PLAN,21
848,HEALTH ALLIANCE PLN OF MI,21
849,INTL QATAR EMBASSY-MEDICAL,21
850,OPTUMHEALTH OSCAR BH,21
851,NY DEPT OF SOCL SERVICES,21
852,THP SECURECARE MDCR HMO WOOSTER,20
853,ADVANCED CORRECTIONAL AKRON,20
854,SELECT MEDICAL HB ONLY,20
855,PYRAMID MEDICARE PFFS,20
856,SECURE CARE PLUS,20
857,COVENTRY CARELINK CATASTROPHIC HIX,20
858,INDEPENDENT HLTH MDCR PPO,20
859,CIGNA - NALC,20
860,HEALTH MGMT SYSTEMS,20
861,AETNA MERITAIN HEALTH PPO,20
862,MMO UFCW HB ONLY AND PSYCH,20
863,SECUREHORIZONS DIRECT,20
864,MICH DEPT OF SOCL SERVC,19
865,UMWA FUNDS,19
866,AETNA AFFORDABLE HEALTH,19
867,CIGNA CF LOCALPLUS,19
868,HOSPICE OF MEDINA COUNTY,19
869,OPTUMHEALTH UHC BH,19
870,PRM PROVIDER NETWORK,19
871,SELF INSURED BENEFITS,19
872,LUTHERAN PREFERRED,19
873,COSMETIC SURGERY SELF PAY,19
874,SNF GENERIC,19
875,MYCARE UHC MEDICAID,19
876,MYCARE UHC CAID 2ND,19
877,WOOSTER EMERALD HEALTH,19
878,WORKER COMP OTHER,19
879,INTERNATIONAL AETNA,18
880,AETNA MEDICARE TRANSPLANT,18
881,BOEING CC SPEC PROGRAM,18
882,BUREAU FOR CHILDREN WITH,18
883,UHC BEHVRL Hlth,18
884,BLUE PREFERRED PRIMARY HMO,18
885,HEALTHSMART BENEFIT,18
886,MOUNTAIN STATE FREEDOM BLUE,18
887,BEACON HEALTH OPTIONS AKRON BH,18
888,PRISONR CLEVELAND,18
889,SUMMACARE SC TIERED,18
890,PRINCESS CRUISE LINES,18
891,NOT LISTED,18
892,AULTCOMP,18
893,AETNA STARMARK,18
894,ADVANTAGE BY BUCKEYE MDCR HMO,18
895,HEALTH PLAN UPPER VALLEY,18
896,MISC SPECIAL PLAN,18
897,ANTHEM FEDERAL HMO,17
898,MYCARE MOLINA MEDICAID,17
899,BCBS BLUESELECT,17
900,MICHIGAN DEPT SOCIAL SERV,17
901,BLUE ACCESS PPO PSYCH,17
902,WALMART HDP BAT,17
903,CIGNA HLTHCARE INDEMNITY,17
904,BLUE CROS MCR PPO OP,17
905,MEDICARE/SNF,17
906,BLUE TRADITIONAL INDEMNITY,17
907,ROYAL CARIBBEAN CRS LINE,17
908,BWC,17
909,MEDICARE ABN,17
910,INTL EMBASSY UAE HEALTH,17
911,INTL WORLDWIDE,17
912,CHESTERFIELD RESOURCES IN,17
913,THREE RIVERS PROVIDER NETWORK GENERIC,17
914,PCIP,16
915,BOEING HDP BAT,16
916,GEISINGER HEALTH PLAN GOLD,16
917,AETNA EC EPO,16
918,THP POS,16
919,MMO SUPERMED ONE,16
920,ANTHEM PTHWY HMO HIX,16
921,APWU HEALTH PLAN SECONDARY,16
922,BUCKEYE ADVTG MCR OP,16
923,GREAT WEST HEALTHCARE,16
924,SUMMACARE SECURE CHOICE,16
925,BCBS SECONDARY,16
926,SEDGWICK GENERIC,15
927,EMPLOYEE HLTH CLINIC,15
928,ACCIDENT MEDICARE OH,15
929,UHC NAVIGATE HMO,15
930,HEALTHAMERICA ONE PPO,15
931,UHC INTERNATIONAL,15
932,TRICARE WEST REGION,15
933,INTL KUWAIT EMBASSY-MEDICAL,15
934,HOSPICE MISC,15
935,AETNA EPO GENERIC,15
936,CIGNA QUALCARE OAP,15
937,CLEVELAND BROWNS STAFF,15
938,INDIANA MEDICAID,15
939,CIGNA HEALTHCARE INDEMNITY,15
940,BLUE CROSS MISC,15
941,CARESOURCE MDCR OP,15
942,MEDICARE SNF OVERLAP REJECT,15
943,MEDICARE PT B I/P,15
944,COVENTRY MDCR POS OP,15
945,INTL AXA ASSISTANCE,15
946,HEALTH MANAGEMENT SOLUTIONS,15
947,LIMITED BENEFITS GENERIC,15
948,PROFESSIONAL CLAIMS,15
949,MMO GEHA,14
950,CIGNA POS GENERIC,14
951,OH EMPLOY HLTH PARTNERSHP,14
952,MEDICARE LIABILITY,14
953,UNITED HEALTHCARE - GOLDEN RULE,14
954,BLUE MEDICARE HMO OP,14
955,INTL UAE EMBASSY HEALTH MINISTRY,14
956,MMO METROHEALTH OON,14
957,SC COMMUNITY CHOICE,14
958,SUMMACARE SC PREMIER,14
959,INTL MEDICAL GRP,14
960,MEDINFORM LIABILITY INSURANCE,14
961,DO NOT USE,14
962,COVENTRY PPO,14
963,COVENTRY HEALTH CARE OF FL POS,14
964,TRIPLE S MEDICARE PPO,14
965,MEDICARE A/B REBILL,13
966,HEALTHPLAN OF UPPER VALLEY,13
967,BC FLORIDA PHS,13
968,ANTHEM BRONZE ACCESS,13
969,HEALTHSPAN,13
970,ADMINISTRATIVE CONCEPTS,13
971,SECURE HORIZON,13
972,MYCARE CARESOURCE MEDICAID ONLY,13
973,SAUDI ARABIA ARMED FORCES,13
974,SIMCO WORKERS COMP,13
975,UHC NAVIGATE HIX OHIO,13
976,VETERANS CHOIC PRGRM,13
977,PRESBYTERIAN HEALTH PLAN,13
978,ZZZHUMANA HMO,13
979,SALVATION ARMY,13
980,WELLCARE MDCR HMO OP,13
981,COVENTRY CARELINK POS,13
982,MEDICAL ADMIN MCO,13
983,MEGA LIFE & HEALTH INS,12
984,CAREPLUS MDCR HMO OP,12
985,INTL MEDICAL CARD SYSTEMS,12
986,STATE FARM AUTO FL,12
987,CIGNA POS,12
988,MYCARE CARESOURCE MCAID,12
989,BROWNS PLAYERS WORKCOMP,12
990,AULTCARE HMO WOOSTER,12
991,HOSPICE,12
992,UHIS,12
993,HEALTHREACH NETWORK GENERIC,12
994,SC PREMIER TIERED PPO,12
995,CORVEL CORP/MCO,12
996,AETNA QPOS,12
997,JMH HEALTH PLAN,12
998,INTL SAUDI ARABIA EMB ARMED FORCES,12
999,LIFEBANC,12
1000,UPMC FOR LIFE HMO,12
1001,CIGNA INDEMNITY GENERIC,12
1002,MYCARE MOLINA MEDICARE,12
1003,UNITED BEHAVIORAL HEALTH,12
1004,UHC COMMUNITY PLAN MEDICAID FL,12
1005,SUMMACARE MEDCRE OP,11
1006,ANTARES CCHS RET OVER 65,11
1007,INTL SEVEN CORNERS INC,11
1008,WALMART HEALTH DESIGN PLUS,11
1009,MEDICAID-FAM PLANNING,11
1010,GENEX,11
1011,GATEWAY HEALTH PLAN,11
1012,HLTHSPAN - CHN,11
1013,ANTHEM BCBS MEDICARE PFFS OOS,11
1014,MEDICAID SNF,11
1015,UNITED AIRLINES HEALTHSCOPE BENEFITS BAT,11
1016,THE HEALTH PLAN,11
1017,MEDICAID SECONDARY INS,11
1018,UNISYS BENEFITS,11
1019,UHC RIVER VALLEY CHOICE P,11
1020,INDIANA COMP HLTH PLAN,11
1021,HOMETOWN HOSPITAL HEALTH EPO H,11
1022,MUTUAL HEALTH SERVICES,10
1023,CIGNA SAMBA STANDARD OPT,10
1024,AETNA CHESTERFIELD R,10
1025,EHP,10
1026,PENNSYLVANIA MEDICAID,10
1027,AMERICAN POSTAL WORKERS,10
1028,OHIO ATTORNEY GENERAL SAFE PROGRAM,10
1029,LIBERTY HEALTHSHARE,10
1030,GEISINGER HLTH PLAN GOLD,10
1031,MOLINA GOLD HIX,10
1032,UHC CORE FL,10
1033,UHC MEDICARE SOLUTIONS PPO,10
1034,ADVANTRA FREEDOM MDCR PFF,10
1035,INTL OLYMPUS,10
1036,HUMANA GOLD PLAN,10
1037,MMO SUPERMED PREFERRED,10
1038,"BCBS OF FLORIDA,INC",10
1039,OCCUPATIONAL HEALTH LINK,10
1040,GREAT WEST BEH HLTH,10
1041,MEDINFORM MEDPAY,10
1042,FIRST HEALTH GEHA,10
1043,BCBS COVER FL,10
1044,KEY BENEFIT ADMINISTRATOR,9
1045,THE HLTH PLAN,9
1046,FRONTPATH HLTH COALITION,9
1047,CHAMP VA,9
1048,INTL MIGDAL ISRAEL,9
1049,ANTHM MCR HMO PSY IP,9
1050,BCBS MCARE HMO IP,9
1051,DEPARTMENT OF LABOR,9
1052,AETNA WELLNET CHOICE POS II,9
1053,SUMMACARE SECURE PLATINUM,9
1054,PARAMOUNT MCR ELT IP,9
1055,UHC DUAL COMPLETE HMO POS SNP,9
1056,SUMMA SC TIERED,9
1057,MEDICARE ADVANTRA PPO,9
1058,SC PREMIER TIERED HMO,9
1059,HUMANA EPO,9
1060,ANTHEM DL ADVG MDCD,9
1061,AFFORDABLE - FIRST HEALTH,9
1062,MEDICARE PRIME TIME HEALT,9
1063,UHC SELECT EPO,9
1064,ANTHEM COMMUNITY CHOICE,9
1065,UHC RCCL,9
1066,SC MERCY CHOICE PPO,9
1067,SHARED MINISTRY GENERIC,9
1068,LINCOLN ELECTRIC,9
1069,CIGNA HEALTHCARE EPO,9
1070,STRATEGIC RES COMPANY,9
1071,CAPITAL DISTRICT PHP,9
1072,ANTHEM BRONZE DIRECTACCESS,9
1073,PROGRESSIVE INSURANCE,9
1074,HOSPICE OF WESTERN RESERV,8
1075,BOEING CARDIAC WEBTPA BAT,8
1076,AETNA HLTH FUND PPO,8
1077,MEDICAL MUTUAL OF OH 333,8
1078,JP FARLEY,8
1079,MYCARE MEDICAID,8
1080,CCN NETWORK,8
1081,UHC SALVATION ARMY,8
1082,HUMANA CHOICECARE POS,8
1083,ENTERPRISE GROUP PLANNING,8
1084,MMO SUPERMED PROFESSIONAL,8
1085,KAISER INTER-REGIONAL,8
1086,MYCARE AETNA MCAR IP,8
1087,EMERALD HEALTH PPO,8
1088,UHC COMPASS PLUS HIX FL,8
1089,1-888 OHIO COMP,8
1090,BUREAU FOR CHILDREN WITH MEDI HCAP,8
1091,NEIGHBORHOOD HLTH HMO,8
1092,INTERNATL PT W/INS,8
1093,MEDICARE BLUE CHOICE,8
1094,ZZZUHC PPO,8
1095,AMERIHEALTH,8
1096,CHILDRNS MED HANDICP,8
1097,GEISINGER HEALTH PLAN,8
1098,COMPMANAGEMENT HEALTH,8
1099,MHS CCHS OH NON STAFF RETIREE 2ND,8
1100,CIGNA OAP EMP SPECIFIC AKRON,8
1101,HEALTHAMERICA HMO,8
1102,COMP ONE,8
1103,INTL EBIX,8
1104,FRONTPATH HLTH,8
1105,INTL GLOBAL EXCEL MGMT,8
1106,PARAMOUNT SILVER HIX,8
1107,INTL EMBASSY GENERIC,8
1108,HUMANA MEDICARE SUPPLEMENT,7
1109,LAURA'S HOME,7
1110,COVENTRY HLTH CARE INC,7
1111,ZZZGEHA,7
1112,US DEPT OF LABOR DCMWC,7
1113,CIGNA - GREAT WEST,7
1114,INTL HAA PREFERRED PARTNERS,7
1115,BCBS MEDICARE HMO OTHER,7
1116,BUCKEYE CHP CENPATICO,7
1117,PARAMOUNT MCR ELT OP,7
1118,SUMMACARE PRIME,7
1119,PRINCIPAL FINANCIAL GP/UP,7
1120,AETNA CHESTERFIELD RESOURCES,7
1121,EXCHANGE MISC OTHER,7
1122,VA VETERANS FLORIDA,7
1123,HEALTHPLUS PPO,7
1124,AULTCOMP MCO  INC,7
1125,TRICARE HUMANA CHCBP,7
1126,RESEARCH NON-FEDERAL FUND,7
1127,UNITED HEALTHCARE - CHOICE PLUS,7
1128,REPRICING MMO,7
1129,EXCHANGE GOLD GENERIC,7
1130,SUMMACARE EPO/HMO,7
1131,INTL ONTARIO HEALTH INS PLAN,7
1132,ANTHEM BCBS FEP PPO PSYCH,7
1133,HEALTH MGMT SOLUTION,7
1134,ANTHEM SENIOR ADV PSYCH,6
1135,CIGNA LOCALPLUS IN,6
1136,AETNA BEHAVRL Hlth,6
1137,CLEVELAND CAVALIERS BASK,6
1138,CIGNA HMO GENERIC,6
1139,BOILERMAKERS NHW FUND,6
1140,ZZZUSA MEDICAL SERVICES,6
1141,DONOR GENERIC HB ONLY,6
1142,UHC OPTIONS PPO NETWORK,6
1143,SUMMACARE SILVER HIX,6
1144,SUMMACARE BRONZE HIX,6
1145,PRIORITY HEALTH HMO PPO,6
1146,PPOM,6
1147,PERSONAL CHOICE 65,6
1148,INTERNATIONAL SELF PAY HOSP/MD,6
1149,GRACE SPECIALTY LTACH (H),6
1150,OHIO HEALTH CHOICE PLAN PREFERRED HEALTH CHOICE PL,6
1151,MUTUAL OF OMAHA,6
1152,MIDWEST HEALTH PREMIER HEALTH,6
1153,HEALTHAMERICA INDEMNITY,6
1154,JOHN HANCOCK,6
1155,HOSPITAL OTHER,6
1156,INTL EMBASSY GNERIC,6
1157,INDEPENDENT HEALTH RICHS,6
1158,UHC AMS,6
1159,GRACE SPECIALTY  LTACH (H),6
1160,USAA AUTO FL,6
1161,MMO UFCW HB ONLY PSYCH,5
1162,MEDICA HEALTHCARE PLAN CCF FL,5
1163,ACORDIA BENEFIT SERVICES,5
1164,HEALTHAMERICA,5
1165,MIDWEST HEALTH OHIO HEALTH,5
1166,WORKSTAR HLTH SERV INC,5
1167,MMO GEHA PPO,5
1168,HCR MANORCARE HEALTH DESIGN PLUS,5
1169,CIGNA SAMBA STANDARD,5
1170,UPMC HMO,5
1171,MYCARE OHIO AETNA MEDICARE HMO,5
1172,GWH CIGNA ONE PLAN,5
1173,NOVA HEALTHCARE,5
1174,OH MDCD FAMILY PLANNING,5
1175,OHIO EMPLOYEE HLTH PARTNERSHIP,5
1176,WALMART HDP,5
1177,ASSURANT EMPLOYEE BENEFIT,5
1178,BROWNS PLAYER CIGNA,5
1179,UNITED AIRLINES HEALTHSCOPE BENEFITS,5
1180,ZZZINTL BUPA,5
1181,CARESOURCE ADVANTAGE PLAN,5
1182,INTERNATIONAL INS GENERIC,5
1183,INTERNATIONAL BILLING,5
1184,INTL BCBS GENERIC,5
1185,INT'L DUBAI EMBASSY,5
1186,INTL DUBAI EMBASSY,5
1187,INDEPENDENT HLTH MDCR PFFS,5
1188,ZZZOXFORD FREEDOM PLAN,5
1189,INTL EMBASSY - OTHER,5
1190,IMG,5
1191,INTL GMMI,5
1192,HUMANA CHOICECAR POS,5
1193,INTL HAA PREF PARTNERS,5
1194,CAREWORKS COMP SI MCO,5
1195,INTL KUWAIT OIL CO,5
1196,INTL QATAR EMBASSY MED,5
1197,KAISER OUT OF STATE,5
1198,MYCARE UHC MEDICARE AKRON BH,5
1199,ANTHM SR BVR HLTH OP,5
1200,UNITED HEALTHCARE MDCR PFFS,5
1201,EXCHANGE MISC SILVER,5
1202,TRICARE/CHAMPUS,5
1203,SUPERMED PROFESSIONAL,5
1204,FIRSTHEALTHGENERIC,5
1205,SUMMACARE SELECT OON,5
1206,UNITED EPO GENERIC,5
1207,ALLIED NATIONAL,5
1208,FREEDOM LIFE,5
1209,CORESOURCE-CNA PPO,5
1210,SC PRIME TIERED PPO,5
1211,SC PRIME EPO,5
1212,RESERVE NATIONAL,5
1213,ANTHEM INPT TO OTPT,5
1214,INTERPLAN HEALTH GROUP,5
1215,AETNA EPO,5
1216,PRINCIPAL MUTUAL LIFE- IA,5
1217,ANTHEM MEDICARE SELECT,5
1218,PRINCESS CRUISE LINE,5
1219,PRIMARY PHYSICIAN CARE,5
1220,PHCS - MULTIPLAN,5
1221,WESTERN SOUTHERN LIFE,4
1222,AETNA MEDICARE CHOICE PLAN,4
1223,STATE FARM INSURANCE,4
1224,BC PHYS STAFF PLAN,4
1225,3 HAB MCO,4
1226,INTL EMBASSY DUBAI,4
1227,PLUMBERS & PIPEFITTERS,4
1228,AETNA HEALTH NETWORK OPTION,4
1229,INTL MAPFRE,4
1230,TURKISH EMBASSY ATTACHE,4
1231,U F C W HEALTH & WELFARE,4
1232,UFCW UNIONS & EMP H & W P,4
1233,OHIO Hlth CHOICE PLAN,4
1234,AETNA HEALTHFUND POS,4
1235,SKILLED NURSING HM,4
1236,AMERIHEALTH ADMINISTRATOR,4
1237,ZZZMUTUAL HEALTH SERVICES,4
1238,MMO SUPERMED HMO PSYCH,4
1239,MVP HEALTH PLAN,4
1240,MISC PAYOR OTHER THAN INS,4
1241,MYCARE BUCKEYE MEDICAID ONLY,4
1242,SELF FUNDED PLAN,4
1243,BLUE CROSS PHS,4
1244,MEDICAL MUTUAL ADVANTAGE,4
1245,SEMINOLE TRIBE 502,4
1246,MEDICAID FLORIDA,4
1247,UPMC FOR LIFE PPO,4
1248,BCBS FL FPL,4
1249,MAILHANDLERS,4
1250,MAIL HANDLER BENEFIT PLAN,4
1251,CAPITAL HEALTH PLAN HOSP ONLY,4
1252,SHURTECH UMR,4
1253,AMISH CHURCH FUND,4
1254,SENIOR BLUE PPO,4
1255,**** DO NOT USE ****,4
1256,HUMANA HMO PREMIER,4
1257,COMMUNITY HLTH ALLIANCE,4
1258,COVENTRY HEALTH CARE OF FL MEDICARE PPO,4
1259,EMBASSY / QATAR MED,4
1260,COVENTRY NATIONAL NETWORK,4
1261,EMERALD HEALTH BHVRL,4
1262,FEDERAL BLACK LUNG PROG.,4
1263,CARESOURCE <250 FPL HIX AKRON,3
1264,INTL SOS,3
1265,COMCAST CARDIAC WEBTPA BAT,3
1266,OPTUM HLTH REPRD RES SERV,3
1267,PARAMOUNT BRONZE HIX,3
1268,MEDISHARE,3
1269,KENTUCKY ACCESS PPO,3
1270,PARAMOUNT GOLD HIX,3
1271,INTL WMCP,3
1272,COVENTRY HLTH OF FL,3
1273,PARAMOUNT MEDICARE ELITE,3
1274,UHC UHIS CHOICE PLUS,3
1275,NATIONAL ASSOC LETTER CAR,3
1276,KAISER - MEDIGAP,3
1277,AETNA QHP HIX,3
1278,UNITED OPEN ACCESS GENERIC,3
1279,MMO STANDARD CARE NTWK,3
1280,BCBS COVER FL LOW,3
1281,EXCHANGE MISC BRONZE,3
1282,MEDICAL MUTUAL NAS,3
1283,AETNA WHIRLPOOL,3
1284,BOEING HDP,3
1285,NORTHER GROUP SERVICES,3
1286,BLUE PREFERRED PRIM PLUS,3
1287,BAHRAIN EMBASSY DEFENSE,3
1288,COVENTRY (FIRST HEALTH),3
1289,MARYMOUNT BH CCF EMP,3
1290,ANTHEM OON HIX,3
1291,UHC HMO MCARE,3
1292,COVENTRY CRLNK HX-B,3
1293,CLEVELAND CLINIC HOSP,3
1294,EVERCARE,3
1295,CLEVELAND INDIANS BASEBALL,3
1296,LIVER ACQUISITION,3
1297,CIGNA CF LOCALPLUS IN,3
1298,MHS CCHS OH STAFF RETIREE 2ND,3
1299,UHC UMR CHOICE PLUS ONALASKA,3
1300,HOSPICE OF VNA,3
1301,HUBBARD BERT BAI BAT,3
1302,ZZZCIGNA POS,3
1303,AARP - SECURE HORIZONS,3
1304,QUALITY HLT MGMT PPO,3
1305,SHEET METAL WORKERS,3
1306,ZZZCIGNA HMO,3
1307,COMMERCIAL INS PLAN 3,3
1308,FRANK GATES MANAGED CARE SERVICES,3
1309,CENTRAL MEDICARE & MORE,3
1310,CORVEL CORPORATION,3
1311,INTL FEDERAL ASSIST,3
1312,EMBASSY / UAE MILTRY,3
1313,MIDWEST HEALTH PARAMOUNT HMO,3
1314,FRANK GATES MCS,3
1315,UHC AARP,3
1316,INDIANA MEDICAID MED ONLY,3
1317,MMO PRISONER CLEVELAND,3
1318,UFCW HEALTH & WELFARE,3
1319,CIGNA FUNDAMENTAL CARE,3
1320,BLIS INC,3
1321,RURAL CARRIERS BENEFIT,3
1322,INTL KUWAIT EMBASSY-DEFENSE,3
1323,INTL MEDICAL GROUP,3
1324,GLOBAL EXCEL MANAGEMENT,3
1325,AETNA WELLNET CHOICE POS,2
1326,BC MEDICAID HMO OOS,2
1327,HCR MANORCARE HDP,2
1328,FEDERATED INSURANCE,2
1329,NH BRENTWOOD HEALTH CARE,2
1330,MMO SUPERMED SELECT PSYCH,2
1331,AETNA VOLUNTARY PLANS,2
1332,MMO SUPERMED PREF,2
1333,MULTIPLAN,2
1334,MTC MEDICAL,2
1335,CLEVE INDIANS MINOR,2
1336,BCBS BLUESELECT NETWORK,2
1337,SUPERMED SECONDARY,2
1338,TRICARE SOUTH REGION,2
1339,HARVARD COMM HLH PL-HMOGP,2
1340,CLEVE INDIANS MAJOR,2
1341,CIGNA STARBRIDGE,2
1342,MYCARE OHIO MOLINA MEDICARE HMO,2
1343,THP SECURECARE MDCR PPO WOOSTER,2
1344,BCBS MCARE HMO OP,2
1345,THP SECURECHOICE MEDICARE PPO,2
1346,TRICARE CHCBP,2
1347,MYCARE AETNA MEDICAID,2
1348,MYCARE BCKY CAID 2ND,2
1349,MULTIPLAN WISCONSIN PPN,2
1350,SUMMACARE PLATINUM HIX,2
1351,COMMERCE BENEFITS GROUP - MHP,2
1352,PRIMARY HLTH SERVICES PPO,2
1353,AMERIGROUP,2
1354,GHI GROUP HEALTH INC,2
1355,ANTHEM MEDICARE PREF - MEDICARE PPO,2
1356,GENEX CARE OF OHIO,2
1357,ANTHEM MEDICAID BH,2
1358,AMERIGROUP OHIO,2
1359,ANTHEM MEDCR PREF OP,2
1360,GENEX CARE FOR OHIO,2
1361,ANTHEM HIX,2
1362,RESEARCH PATIENT,2
1363,ANTHEM DIRECT ACCESS,2
1364,COMPASS ROSE HEALTH PLAN,2
1365,ANTHEM CATASTROPHIC DIRECTACCESS,2
1366,SAMBA,2
1367,SELF FUNDED PLANS,2
1368,ANTHEM 332 - DIRECT ACCESS,2
1369,AMERICAN VETERINARY ASSOC,2
1370,POMCO,2
1371,SUMMACARE GOLD HIX,2
1372,COMMERCE BENEFITS GROUP,2
1373,GRP HLH PUGET SOUND/HMOGP,2
1374,OH EMP HLTH PRTNRSHP,2
1375,SUMMACARE COMM CHOICE NTW,2
1376,CLEVELAND CAVALIERS,2
1377,SUMMA SC SELECT OON,2
1378,SUMMA SC COMM CHOICE,2
1379,OHIO HEALTH CHOICE AKRON,2
1380,CLEVELAND INDIANS MINOR,2
1381,OHIO MEDICAID HMO OTHER,2
1382,APWU-NALC SUPPLEMENTAL,2
1383,COVENTRY CARELINK HIX,2
1384,ANTHEM UNICARE GENERIC,2
1385,PARAMOUNT PREFERRED PPO,2
1386,AMALGAMATED LIFE INS,2
1387,AMERICAN MEDICAL SECURITY,2
1388,PHYSICIAN MUTUAL,2
1389,PHYSICIANS MUTUAL INS.,2
1390,FLORIDA HEALTH CARE PLANS HMO,2
